index,Matchup URL,Matchup,Teams,Opponent,Round Win Pct,Map Win Pct
0,https://www.vlr.gg/295611/leviat-n-vs-100-thieves-champions-tour-2024-americas-kickoff-opening-b,LEVIATÁN_vs_100 Thieves,A,B,0.4868421052631579,0.3333333333333333
1,https://www.vlr.gg/295611/leviat-n-vs-100-thieves-champions-tour-2024-americas-kickoff-opening-b,LEVIATÁN_vs_100 Thieves,A,Others,0.4648318042813456,0.4375
2,https://www.vlr.gg/295611/leviat-n-vs-100-thieves-champions-tour-2024-americas-kickoff-opening-b,LEVIATÁN_vs_100 Thieves,B,A,0.5131578947368421,0.6666666666666666
3,https://www.vlr.gg/295611/leviat-n-vs-100-thieves-champions-tour-2024-americas-kickoff-opening-b,LEVIATÁN_vs_100 Thieves,B,Others,0.43636363636363634,0.3333333333333333
0,https://www.vlr.gg/353186/nrg-esports-vs-g2-esports-champions-tour-2024-americas-stage-2-w2,NRG Esports_vs_G2 Esports,A,B,0.5,0.5
1,https://www.vlr.gg/353186/nrg-esports-vs-g2-esports-champions-tour-2024-americas-stage-2-w2,NRG Esports_vs_G2 Esports,A,Others,0.501628664495114,0.4666666666666667
2,https://www.vlr.gg/353186/nrg-esports-vs-g2-esports-champions-tour-2024-americas-stage-2-w2,NRG Esports_vs_G2 Esports,B,A,0.5,0.5
3,https://www.vlr.gg/353186/nrg-esports-vs-g2-esports-champions-tour-2024-americas-stage-2-w2,NRG Esports_vs_G2 Esports,B,Others,0.496551724137931,0.5
0,https://www.vlr.gg/353187/sentinels-vs-cloud9-champions-tour-2024-americas-stage-2-w2,Sentinels_vs_Cloud9,A,B,0.366412213740458,0.14285714285714285
1,https://www.vlr.gg/353187/sentinels-vs-cloud9-champions-tour-2024-americas-stage-2-w2,Sentinels_vs_Cloud9,A,Others,0.533724340175953,0.6
2,https://www.vlr.gg/353187/sentinels-vs-cloud9-champions-tour-2024-americas-stage-2-w2,Sentinels_vs_Cloud9,B,A,0.6335877862595419,0.8571428571428571
3,https://www.vlr.gg/353187/sentinels-vs-cloud9-champions-tour-2024-americas-stage-2-w2,Sentinels_vs_Cloud9,B,Others,0.5134408602150538,0.5
0,https://www.vlr.gg/353188/evil-geniuses-vs-leviat-n-champions-tour-2024-americas-stage-2-w2,Evil Geniuses_vs_LEVIATÁN,A,B,0.5217391304347826,0.6666666666666666
1,https://www.vlr.gg/353188/evil-geniuses-vs-leviat-n-champions-tour-2024-americas-stage-2-w2,Evil Geniuses_vs_LEVIATÁN,A,Others,0.4894179894179894,0.5
2,https://www.vlr.gg/353188/evil-geniuses-vs-leviat-n-champions-tour-2024-americas-stage-2-w2,Evil Geniuses_vs_LEVIATÁN,B,A,0.4782608695652174,0.3333333333333333
3,https://www.vlr.gg/353188/evil-geniuses-vs-leviat-n-champions-tour-2024-americas-stage-2-w2,Evil Geniuses_vs_LEVIATÁN,B,Others,0.5218340611353712,0.6190476190476191
0,https://www.vlr.gg/353189/loud-vs-furia-champions-tour-2024-americas-stage-2-w2,LOUD_vs_FURIA,A,B,0.7289719626168224,1.0
1,https://www.vlr.gg/353189/loud-vs-furia-champions-tour-2024-americas-stage-2-w2,LOUD_vs_FURIA,A,Others,0.48579545454545453,0.47058823529411764
2,https://www.vlr.gg/353189/loud-vs-furia-champions-tour-2024-americas-stage-2-w2,LOUD_vs_FURIA,B,A,0.27102803738317754,0.0
3,https://www.vlr.gg/353189/loud-vs-furia-champions-tour-2024-americas-stage-2-w2,LOUD_vs_FURIA,B,Others,0.38095238095238093,0.25
0,https://www.vlr.gg/353190/mibr-vs-100-thieves-champions-tour-2024-americas-stage-2-w2,MIBR_vs_100 Thieves,A,B,0.5846153846153846,0.6666666666666666
1,https://www.vlr.gg/353190/mibr-vs-100-thieves-champions-tour-2024-americas-stage-2-w2,MIBR_vs_100 Thieves,A,Others,0.37012987012987014,0.06666666666666667
2,https://www.vlr.gg/353190/mibr-vs-100-thieves-champions-tour-2024-americas-stage-2-w2,MIBR_vs_100 Thieves,B,A,0.4153846153846154,0.3333333333333333
3,https://www.vlr.gg/353190/mibr-vs-100-thieves-champions-tour-2024-americas-stage-2-w2,MIBR_vs_100 Thieves,B,Others,0.5576923076923077,0.6470588235294118
0,https://www.vlr.gg/353191/nrg-esports-vs-kr-esports-champions-tour-2024-americas-stage-2-w2,NRG Esports_vs_KRÜ Esports,A,B,0.65,1.0
1,https://www.vlr.gg/353191/nrg-esports-vs-kr-esports-champions-tour-2024-americas-stage-2-w2,NRG Esports_vs_KRÜ Esports,A,Others,0.4612903225806452,0.3333333333333333
2,https://www.vlr.gg/353191/nrg-esports-vs-kr-esports-champions-tour-2024-americas-stage-2-w2,NRG Esports_vs_KRÜ Esports,B,A,0.35,0.0
3,https://www.vlr.gg/353191/nrg-esports-vs-kr-esports-champions-tour-2024-americas-stage-2-w2,NRG Esports_vs_KRÜ Esports,B,Others,0.5041322314049587,0.47058823529411764
0,https://www.vlr.gg/353192/g2-esports-vs-kr-esports-champions-tour-2024-americas-stage-2-w3,G2 Esports_vs_KRÜ Esports,A,B,0.5838926174496645,0.8571428571428571
1,https://www.vlr.gg/353192/g2-esports-vs-kr-esports-champions-tour-2024-americas-stage-2-w3,G2 Esports_vs_KRÜ Esports,A,Others,0.494279176201373,0.5
2,https://www.vlr.gg/353192/g2-esports-vs-kr-esports-champions-tour-2024-americas-stage-2-w3,G2 Esports_vs_KRÜ Esports,B,A,0.4161073825503356,0.14285714285714285
3,https://www.vlr.gg/353192/g2-esports-vs-kr-esports-champions-tour-2024-americas-stage-2-w3,G2 Esports_vs_KRÜ Esports,B,Others,0.5129533678756477,0.5
0,https://www.vlr.gg/295612/loud-vs-leviat-n-champions-tour-2024-americas-kickoff-winners-b,LOUD_vs_LEVIATÁN,A,B,0.6385542168674698,1.0
1,https://www.vlr.gg/295612/loud-vs-leviat-n-champions-tour-2024-americas-kickoff-winners-b,LOUD_vs_LEVIATÁN,A,Others,0.5582655826558266,0.7647058823529411
2,https://www.vlr.gg/295612/loud-vs-leviat-n-champions-tour-2024-americas-kickoff-winners-b,LOUD_vs_LEVIATÁN,B,A,0.3614457831325301,0.0
3,https://www.vlr.gg/295612/loud-vs-leviat-n-champions-tour-2024-americas-kickoff-winners-b,LOUD_vs_LEVIATÁN,B,Others,0.4652956298200514,0.47368421052631576
0,https://www.vlr.gg/353194/mibr-vs-furia-champions-tour-2024-americas-stage-2-w3,MIBR_vs_FURIA,A,B,0.4888888888888889,0.5
1,https://www.vlr.gg/353194/mibr-vs-furia-champions-tour-2024-americas-stage-2-w3,MIBR_vs_FURIA,A,Others,0.3639344262295082,0.06666666666666667
2,https://www.vlr.gg/353194/mibr-vs-furia-champions-tour-2024-americas-stage-2-w3,MIBR_vs_FURIA,B,A,0.5111111111111111,0.5
3,https://www.vlr.gg/353194/mibr-vs-furia-champions-tour-2024-americas-stage-2-w3,MIBR_vs_FURIA,B,Others,0.40625,0.3125
0,https://www.vlr.gg/295607/nrg-esports-vs-cloud9-champions-tour-2024-americas-kickoff-winners-a,NRG Esports_vs_Cloud9,A,B,0.46285714285714286,0.375
1,https://www.vlr.gg/295607/nrg-esports-vs-cloud9-champions-tour-2024-americas-kickoff-winners-a,NRG Esports_vs_Cloud9,A,Others,0.5477386934673367,0.6666666666666666
2,https://www.vlr.gg/295607/nrg-esports-vs-cloud9-champions-tour-2024-americas-kickoff-winners-a,NRG Esports_vs_Cloud9,B,A,0.5371428571428571,0.625
3,https://www.vlr.gg/295607/nrg-esports-vs-cloud9-champions-tour-2024-americas-kickoff-winners-a,NRG Esports_vs_Cloud9,B,Others,0.5,0.6666666666666666
0,https://www.vlr.gg/353196/evil-geniuses-vs-100-thieves-champions-tour-2024-americas-stage-2-w3,Evil Geniuses_vs_100 Thieves,A,B,0.3923076923076923,0.0
1,https://www.vlr.gg/353196/evil-geniuses-vs-100-thieves-champions-tour-2024-americas-stage-2-w3,Evil Geniuses_vs_100 Thieves,A,Others,0.49476439790575916,0.5
2,https://www.vlr.gg/353196/evil-geniuses-vs-100-thieves-champions-tour-2024-americas-stage-2-w3,Evil Geniuses_vs_100 Thieves,B,A,0.6076923076923076,1.0
3,https://www.vlr.gg/353196/evil-geniuses-vs-100-thieves-champions-tour-2024-americas-stage-2-w3,Evil Geniuses_vs_100 Thieves,B,Others,0.5638888888888889,0.6470588235294118
0,https://www.vlr.gg/353197/cloud9-vs-kr-esports-champions-tour-2024-americas-stage-2-w4,Cloud9_vs_KRÜ Esports,A,B,0.532051282051282,0.625
